annotation_id,query_index,query_image_id,query_category,query_image_path,rank,product_id,candidate_category,similarity,candidate_image_id,candidate_image_path,relevance,notes
q002_r09,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,9,IMG_2506_cab336a0,Pendant,0.9926509857177734,DS1_IMG_003817,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_2506_cab336a0_JPG.rf.c04f3c5dfe74536816e617c0392da37f.jpg,,
q002_r10,2,DS1_IMG_004337,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_1388_f85dd16b_JPG.rf.37dd3c518b09f42467367ddfb959edc1.jpg,10,IMG_0635-1-_006bcc5b,Earrings,0.9926369190216064,DS1_IMG_000773,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Earrings\IMG_0635-1-_006bcc5b_JPG.rf.b31faf53c5219e81292222277f4fa3f1.jpg,,
q003_r01,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,1,IMG_1854_54846a87,Necklace,0.9993270635604858,DS1_IMG_002543,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_1854_54846a87_JPG.rf.052514dd76820d377978c3a7e6d5e6f2.jpg,,
q003_r02,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,2,IMG_0586_952d41e8,Necklace,0.9992389678955078,DS1_IMG_001978,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0586_952d41e8_jpg.rf.ebdbc97a72c7dfa78b0ed7db210a9264.jpg,,
q003_r03,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,3,necklace_20241125_122545_485f5f9f,Necklace,0.9992226362228394,DS1_IMG_003525,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\necklace_20241125_122545_485f5f9f_jpg.rf.f5449ea3d69b801a366b312bf8d28810.jpg,,
q003_r04,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,4,IMG_2282_d8e4a081,Pendant,0.9990708231925964,DS1_IMG_003794,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_2282_d8e4a081_JPG.rf.035c9ab198233141b8d29049908c48ad.jpg,,
q003_r05,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,5,IMG_0612_18d97c27,Necklace,0.9988479018211365,DS1_IMG_002034,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0612_18d97c27_jpg.rf.f0b3e95a7c3c8a949345417cbadceeb7.jpg,,
q003_r06,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,6,IMG_2138_1b7d6c4d,Necklace,0.9987941980361938,DS1_IMG_002580,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2138_1b7d6c4d_JPG.rf.83a207a92c7a68d344da9acfea619a9b.jpg,,
q003_r07,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,7,IMG_2285_ea188d39,Necklace,0.9987008571624756,DS1_IMG_002750,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2285_ea188d39_JPG.rf.d84d67fee0ca42c3d1a0f6dec1d944ec.jpg,,
q003_r08,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,8,IMG_2862_dc66ea02,Pendant,0.9986650347709656,DS1_IMG_003880,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_2862_dc66ea02_jpg.rf.703c686439a2627432b25c3b77f60c8f.jpg,,
q003_r09,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,9,necklace_20241125_122545_7c7f677f,Necklace,0.9985713362693787,DS1_IMG_003548,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\necklace_20241125_122545_7c7f677f_jpg.rf.129c61c470bb96c7825832f9af3934f0.jpg,,
q003_r10,3,DS1_IMG_004344,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2317_1c75d299_JPG.rf.c33c68dcbe3fc589be092481c7003eb4.jpg,10,IMG_1339_be32dfe7,Necklace,0.9985170364379883,DS1_IMG_002159,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_1339_be32dfe7_JPG.rf.57999f2351c63441fd372a7bcaa39d36.jpg,,
q004_r01,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,1,IMG_2137_46d22b6f,Necklace,0.9997058510780334,DS1_IMG_002577,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2137_46d22b6f_JPG.rf.8e530fb94cbf24870727a7c2a6ed7a35.jpg,,
q004_r02,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,2,IMG_2263_9d418fb5,Necklace,0.9981071949005127,DS1_IMG_002725,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2263_9d418fb5_JPG.rf.8d61563d31aaaad242c1a040aae23366.jpg,,
q004_r03,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,3,IMG_0430-1-_046d20ce,Bracelet,0.9978076815605164,DS1_IMG_000017,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Bracelet\IMG_0430-1-_046d20ce_jpg.rf.65196e132838a82691a30142f5b9d457.jpg,,
q004_r04,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,4,IMG_2196_45f1b723,Necklace,0.9966006875038147,DS1_IMG_002624,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2196_45f1b723_JPG.rf.134368e153157598ef87cab443c7df3c.jpg,,
q004_r05,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,5,IMG_0372_f5eaaa3c,Necklace,0.9964064359664917,DS1_IMG_001635,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0372_f5eaaa3c_jpg.rf.7eec424d33f96b31a9f15c13620997c3.jpg,,
q004_r06,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,6,IMG_1869_3dd27dc4,Necklace,0.9962670207023621,DS1_IMG_002566,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_1869_3dd27dc4_JPG.rf.1e8a66b172620e9824392768b089eac3.jpg,,
q004_r07,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,7,IMG_2221_e360d547,Necklace,0.9961574077606201,DS1_IMG_002662,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2221_e360d547_JPG.rf.26a15e099c429e7e0a47c03e9153d316.jpg,,
q004_r08,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,8,IMG_2393_8ec8fcc5,Necklace,0.9960423111915588,DS1_IMG_002828,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2393_8ec8fcc5_JPG.rf.8ca83504e76508597dc19cd6d9711707.jpg,,
q004_r09,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,9,IMG_2429_448e19a6,Necklace,0.9959913492202759,DS1_IMG_002881,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2429_448e19a6_JPG.rf.1214c4ff20c92e18fcacdb8e8a5bcd27.jpg,,
q004_r10,4,DS1_IMG_004347,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2387_c0e1755b_JPG.rf.6536957983807b4575aff91f98716a47.jpg,10,IMG_1404_0cd245f2,Pendant,0.9958229064941406,DS1_IMG_003769,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\IMG_1404_0cd245f2_JPG.rf.e34191499a76c21e38784ddf82fa0da8.jpg,,
q005_r01,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,1,IMG_3468_55be3aa5,Necklace,0.9963675737380981,DS1_IMG_003119,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_3468_55be3aa5_JPG.rf.1a54d9505ec481284e0e7ab8f4683ab4.jpg,,
q005_r02,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,2,IMG_2804_46a71da7,Necklace,0.9963245391845703,DS1_IMG_002903,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2804_46a71da7_jpg.rf.6114cbd9cdf58a4f165f8819eceed289.jpg,,
q005_r03,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,3,IMG_0514_4b186d77,Necklace,0.9952919483184814,DS1_IMG_001828,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0514_4b186d77_jpg.rf.f8b2897591317de2a59498a46e55defc.jpg,,
q005_r04,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,4,IMG_0200_852e67be,Necklace,0.9948573708534241,DS1_IMG_001558,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_0200_852e67be_JPG.rf.dce0619303566e944a061218a4f966fc.jpg,,
q005_r05,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,5,IMG_2816_3a0e171d,Necklace,0.9948480129241943,DS1_IMG_002916,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2816_3a0e171d_jpg.rf.cb337b5610b764bd78c4d80b4f0b70e5.jpg,,
q005_r06,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,6,IMG_2930_2feef29c,Necklace,0.9945797324180603,DS1_IMG_003007,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2930_2feef29c_jpg.rf.34eb11c2fc61629e8999286f743a5250.jpg,,
q005_r07,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,7,IMG_3557_ce569c23,Necklace,0.9934546947479248,DS1_IMG_003260,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_3557_ce569c23_JPG.rf.5019658ebe1fb00ac65d3fbd48f8b2fb.jpg,,
q005_r08,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,8,IMG_1599_fd3daedc,Earrings,0.9934137463569641,DS1_IMG_000795,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Earrings\IMG_1599_fd3daedc_JPG.rf.f80f8d987ac17baebccac2f6b1d0ae2f.jpg,,
q005_r09,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,9,IMG_2242_414e6a4f,Necklace,0.9930057525634766,DS1_IMG_002700,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Necklace\IMG_2242_414e6a4f_JPG.rf.bbea1dcb291d34875d00ccd3e13287a6.jpg,,
q005_r10,5,DS1_IMG_004348,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\IMG_2411_a9a572d2_JPG.rf.69a578b1dc93c3b0ebd899ae98e560e1.jpg,10,necklace_20241125_122545_01000080,Pendant,0.9929565787315369,DS1_IMG_003963,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Pendant\necklace_20241125_122545_01000080_jpg.rf.8673b0cbcb3602cc1dddfdec4a5ed6ba.jpg,,
q006_r01,6,DS1_IMG_004358,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\bracelet_005_jpg.rf.3adcc2070daca3191c4cbaf82c780e60.jpg,1,JE03505-YGP900_1_lar,Earrings,0.9977430701255798,DS1_IMG_000853,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Earrings\JE03505-YGP900_1_lar_jpg.rf.1db74440cba6aa05c8245ee6a073280e.jpg,,
q006_r02,6,DS1_IMG_004358,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\bracelet_005_jpg.rf.3adcc2070daca3191c4cbaf82c780e60.jpg,2,ring_147,Ring,0.9915232062339783,DS1_IMG_004244,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Ring\ring_147_jpg.rf.7db94e2ea87439407fe12ee79e56f8a7.jpg,,
q006_r03,6,DS1_IMG_004358,Bracelet,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\valid\Bracelet\bracelet_005_jpg.rf.3adcc2070daca3191c4cbaf82c780e60.jpg,3,beautiful-fancy-peacock-earring-with-hanging-drops-11-250x250,Earrings,0.9908322095870972,DS1_IMG_000929,E:\Programming Project\Visual Recognition Engine\dataset\ai-tool-pool-jewelry-vision\train\Earrings\beautiful-fancy-peacock-earring-with-hanging-drops-11-250x250_jpg.rf.7ae7aa48c70a7cf92157cd4a81c0de3f.jpg,,
