inspection_id,query_index,query_image_id,query_category,classification,primary_root_cause,secondary_root_causes,notes
"vf028","57","DS1_IMG_004656","Necklace","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|category_confusion","different category"
"vf029","59","DS1_IMG_004681","Necklace","relevant_at_top1_only_or_sparse","fine_grained_design","composition|category_confusion","different category"
"vf030","60","DS1_IMG_004688","Necklace","relevant_only_in_ranks_6_to_10","category_confusion","illumination|fine_grained_design","different category"
"vf031","61","DS1_IMG_004699","Pendant","no_relevant_in_top10","category_confusion","viewpoint|illumination|fine_grained_design","different category"
"vf032","63","DS1_IMG_004701","Pendant","no_relevant_in_top10","category_confusion","viewpoint|fine_grained_design|insufficient_gallery_match","different category"
"vf033","64","DS1_IMG_004704","Pendant","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|fine_grained_design|category_confusion","different category"
"vf034","65","DS1_IMG_004705","Pendant","no_relevant_in_top10","category_confusion","viewpoint|illumination|fine_grained_design|insufficient_gallery_match","different category"
"vf035","66","DS1_IMG_004706","Pendant","no_relevant_in_top10","fine_grained_design","viewpoint|illumination|category_confusion","different category"
"vf036","70","DS1_IMG_004712","Pendant","no_relevant_in_top10","category_confusion","viewpoint|illumination|fine_grained_design|insufficient_gallery_match","different category"
"vf037","71","DS1_IMG_004713","Pendant","relevant_at_top1_only_or_sparse","fine_grained_design","viewpoint|illumination|category_confusion","different category"
"vf038","73","DS1_IMG_004715","Pendant","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|fine_grained_design","different category"
"vf039","74","DS1_IMG_004717","Pendant","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale","different category"
"vf040","75","DS1_IMG_004718","Pendant","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|fine_grained_design|category_confusion","different category"
"vf041","81","DS1_IMG_004729","Ring","relevant_at_top1_only_or_sparse","fine_grained_design","viewpoint|illumination|crop_scale|background|composition|category_confusion","different category"
"vf042","82","DS1_IMG_004730","Ring","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|category_confusion","different category"
"vf043","85","DS1_IMG_004735","Ring","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|crop_scale|background|composition|category_confusion","different category"
"vf044","87","DS1_IMG_004739","Ring","relevant_in_top5_but_not_top1","insufficient_gallery_match","viewpoint|illumination|category_confusion","different category"
"vf045","90","DS1_IMG_004744","Ring","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|fine_grained_design","different category"
"vf046","91","DS1_IMG_004746","Ring","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|fine_grained_design","different category"
"vf047","92","DS1_IMG_004747","Ring","relevant_in_top5_but_not_top1","fine_grained_design","viewpoint|illumination|category_confusion","different category"
"vf048","95","DS1_IMG_004751","Ring","relevant_in_top5_but_not_top1","category_confusion","viewpoint|illumination|crop_scale|fine_grained_design","different category"
"vf049","97","DS1_IMG_004754","Ring","no_relevant_in_top10","insufficient_gallery_match","viewpoint|illumination","different category"
"vf050","99","DS1_IMG_004756","Ring","relevant_in_top5_but_not_top1","fine_grained_design","viewpoint|illumination|category_confusion","different category"
